# DOLCHEO+ encoding TSV — schema per canon/governance/writing-conventions.md
# D, O, L, C rows (6 cols): type	title	body	evidence	alternatives	status
# H rows (4 cols):           type	title	body	owner
# O-open rows (5 cols):      type	open	priority	title	body
# Tab-separated. Order within file: D/O/L/C/H first, then O-open at end.
D	Recreate Sovée Transcribr for the AI world	Build a media transcoding proxy that delivers media at the right filesize for its intended delivery context, best quality for that budget, via an automagic GET-param URL and an MCP control surface for LLM-driven optimization.	The automagic URL is the product identity — drops into an img/audio tag with zero integration. The MCP layer exposes the same parameters to an LLM caller. Sovée Transcribr is the spiritual ancestor, reframed for an AI-mediated world.	Build from scratch as a clean reimplementation	reversible
L	The playback device sets the perceptual budget	How far quality can be cut before someone notices is not fixed — it is a function of the playback chain. The primary target is a cheap Android phone (small speaker, cheap earbuds, noisy environment), a forgiving chain. Targeting it is not a limitation; it is what licenses the aggressive cuts.	Operator: 8-bit audio inaudible on cheap computer speakers, audible on good speakers acquired later	general
C	Honest promise is "imperceptible on the target chain"	The product must not claim "lossless." The honest, defensible claim is that the loss is imperceptible on the device the media is actually heard or seen on. This is a stronger and truer claim than a vague one.	L: The playback device sets the perceptual budget	permanent
L	Chroma subsampling, not color depth, is the image free-lunch axis	The eye under-samples color resolution far more than brightness, so chroma subsampling (4:2:0 and beyond) is largely invisible — the long-leash axis to push hard. Color depth is different: reduce it too far and visible banding appears in skies and gradients. The operator reduced chroma aggressively and color depth only gently.	Operator correction: the Sovée "color depth" trick was actually chroma subsampling; color depth was reduced but kept short of banding	general
L	The video GOP/scene-detection triangle	The video equivalent of perceptual triage is re-weighting the encoder's existing scene-change machinery, not content understanding. Three controls in tension: GOP cap set absurdly long (~900+ frames); scene-change sensitivity set high so true cuts force fresh I-frames; motion-detection window coarsened so within-scene motion does not trip needless I-frames. The craft is the triangle, not any single number.	Operator know-how from Sovée, deliberately kept out of the patent to prevent reverse-engineering	general
L	Scrub-snapping is emergent and content-conditional	Long GOP plus sensitive scene detection clusters I-frames at scene cuts, so scrubbing snaps to scene boundaries — a pleasant UX behavior discovered by accident and kept ("a bug rebranded as a feature"). But it only occurs on cut-heavy content; continuous content gets sparse scrub with ~30s dead zones. It is a property of cut-heavy-content-under-long-GOP, not of the GOP setting.	Operator account of the Sovée "intelligent snapping" behavior	general
D	Control the character of the loss	When quality must be lost, control the character of the loss — degrade toward what the eye reads as natural (soft blur, motion blur, depth of field) and away from what it reads as broken (blocking, ringing, banding). The half-step overshoot plus downscale converts would-be blocking into soft blur. Same information loss, opposite perceptual verdict.	The Sovée confetti-test "win" was relative, not absolute: confetti was never sharp, but at the same bitrate it read cleaner and more natural than competitors' blocky mush. Winning the kind of failure, not the sharpness.	Fight artifacts uniformly; accept blocky degradation	permanent
D	Bounded two-pass VBR	VBR is a bounded system with four parts: a target average, a ceiling, a minimum, and a rolling average. Difficult scenes spend up toward the ceiling, calm scenes settle toward the minimum, the rolling average forces the trade-off so the file hits target. Two-pass makes allocation predictive: pass one maps difficulty across the whole file, pass two allocates with the answer key in hand.	Nothing is "robbed" — difficult and calm scenes both serve one global average, and the bounds make runaway spending impossible by construction. Capped/constrained VBR and 2-pass are standard encoder features — borrow, do not build.	Unbounded VBR (bankrupts calm scenes); constant-bitrate (blocks up on hard scenes); single-pass (guesses reactively)	permanent
L	Multiple bounded constraints is optimization, not contradiction	"Do not waste budget on confetti" and "VBR spent more bytes on confetti" are not contradictory — they are a bounded optimization. The assistant initially mischaracterized them as a contradiction. Multiple constraints balanced against each other is constrained optimization; both statements were always compatible.	Operator correction of the assistant's framing error	general
L	Two-pass is the content-understanding layer	Two-pass is not merely a VBR feature; it is the layer the whole transcoding system sits on. Pass one is a fast, deliberately targeted content-profiling pass (difficulty map, scene boundaries, feature presence/absence). Pass two acts on the profile: bitrate allocation, deliberate I-frame placement, and work elimination — skipping machinery for features pass one found absent. The first pass earns the right for the second to be lazy where safe.	Operator description of the Sovée architecture; resolves the earlier "confetti triage is more-than-a-preset" concern — triage is just another thing pass one profiles	general
O	Sovée production infrastructure (firm)	Sovée ran a queue-and-worker architecture: requests queued, a worker pool pulled from the queue, workers auto-scaled with demand, a mixed bare-metal-and-virtual fleet behind load balancing, outputs stored in Amazon S3. First and second pass ran sequentially on the same worker; the first-pass profile persisted into the second pass within a job.	Operator account, stated with confidence	reported
D	Reference architecture: Cloudflare Worker + Container + DO + R2	The transcoder is one thin Cloudflare Worker, one ffmpeg Container image, Durable Object bindings, and R2 buckets — modeled on klappy/ptxprint-mcp. The Worker parses the request, validates, computes the payload hash, and either returns the cached R2 URL or dispatches to the Container via service binding. The Container runs ffmpeg. DOs hold per-job state.	ptxprint-mcp proves this pattern in production: service bindings replace the queue, Cloudflare's primitives are the autoscaler, one ffmpeg image handles all three media types. "One MCP. One image. One repo." Reviewed live: README + ARCHITECTURE.md.	Self-built queue and worker fleet (Sovée's 2009 approach); separate dispatcher service	reversible
D	Transcoding is a pure function; content-address everything	transcode(source, preset, target) is deterministic — same inputs, byte-identical output forever. Treat it as a pure function and content-address the output by sha256 of the canonical input tuple. Re-submitting an unchanged request returns the cached R2 object with no transcode.	The cache IS the performance story — first hit transcodes, every later hit is a fast R2 fetch; expensive compute happens once per unique (content, settings) pair, ever. Same pattern ptxprint-mcp uses. Endorsed by the oddkit anti-cache-lying canon as the only acceptable caching.	TTL caching (cache-lying, forbidden by canon); no caching	permanent
C	Build vodka-style: thin Worker, opinion in the Container, recipes as data	The transcoder is not a literal vodka server (it is full of domain opinion), but it must be built vodka-style: the Worker is thin and holds no transcoding opinion; ffmpeg and codecs are sealed in the Container; presets and recipes live as data, not code branches. The spec must enumerate the boundary ("what the Worker knows / does not know / is not") first.	C: oddkit vodka-architecture canon; ptxprint-mcp attributes its own v1.0-to-v1.1 sprawl to an implicit boundary; its tool surface was simplified 17 to 7 to 4	permanent
L	Video does not break the automagic URL — streaming transcode	ffmpeg writes output progressively; the Worker streams the response from R2 as the Container writes to it, so playback begins on the opening chunks while the tail still encodes. Because video is seekable, the source can be chunked and the front transcoded first. Video on a cache miss has a short first-segment delay, not a "cannot use a URL" problem.	Operator know-how from Sovée 15-17 years ago; supersedes the assistant's earlier overstatement that video breaks the synchronous-URL promise	general
D	Source identity: ETag fast-path over a sha ground truth	The content hash (sha256 of source bytes) is the canonical key and ground truth, established by download-and-hash on first encounter. The origin ETag is a fast-path check on later requests — if it matches the recorded ETag, serve from the sha-keyed object without re-downloading. Any ETag miss or absence falls back to download-and-hash.	A bare ETag strategy would be cache-lying (an ETag is the origin's claim and can be reused across changed content). "Hash once honestly, then use ETag to confirm" keeps the sha as the key. Matches Sovée practice.	Bare ETag as the key (cache-lying); always download-and-hash (no fast path)	reversible
D	Deterministic-shortcut policy	A shortcut is acceptable when it is deterministic (same input, same result, no hidden time-dependence) AND its failure mode is observable (fails loudly enough to detect and iterate on). Ship the cheap path and iterate on issues. ETag-as-fast-path qualifies; a TTL cache does not (silent failure).	Operator stance: "I'm fine at any deterministic cheating, and when we have issues iterate." It is a pragmatic reading of the anti-cache-lying canon — the canon's real enemy is silent staleness.	Forbid all shortcuts; allow shortcuts regardless of failure visibility	reversible
L	V1 image target is a (resolution, byte ceiling) pair	The image transcoder's target is both a target resolution and a byte ceiling, solved in order: resolution first (from the display box, half-class overshot — a no-op for small sources, a resize-first step for large sources), then quality second (the encode-measure-adjust loop converges quality under the byte ceiling at the chosen resolution). Operator: "like videos it's both — target file size and target resolution." Naive "compress a 10MP image harder until it fits" blocks up; resize first, then converge.	Byte ceiling alone; quality floor alone	reversible
D	Half-class overshoot has three converging justifications	The half-class overshoot is justified three independent ways: artifact cleaning (downscale low-passes blocking into soft blur), display-box match (encode to the delivery target), and zoom headroom (a phone can pinch-zoom; the overshoot leaves real pixels in reserve). All three converge on the same value — strong evidence it is right.	Operator retina example: a ~2K display box, half-class lands at ~3K (not 4K) — enough to survive downscale and absorb a modest zoom without 4K's bitrate starvation. Honest boundary: the overshoot buys MODEST zoom only, not a substitute for a high-res asset.	Full-class overshoot; no overshoot; resolution exactly at display box	permanent
L	The GOP triangle ports to images twice	The GOP/scene-detection triangle is not video-only. Its real lesson is matching granularity to local complexity and structuring output coarse-to-fine — both spatial ideas. It ports to images as variable block partitioning (AVIF/HEIC quadtree block sizes: large blocks over smooth regions, small over detail) and as progressive scan passes (coarse-to-fine scans, renderable before complete).	Operator correction of the assistant's claim that the GOP triangle had no image analogue	general
L	Recurring assistant failure: reaching for a default instead of tracing the mechanism	Three times this session the assistant stated a limit or analogy from a default rather than tracing the specific mechanism: over-generalizing operator memories, overstating "video breaks the automagic URL," and dismissing the GOP triangle for images. Each time the corrected version was the better engineering story. The fix is the same — trace the specific mechanism before stating a limit.	O: three corrected errors within this session	general
H	Plan the v1 build	Next session shifts from exploration to planning mode. First task: enumerate the Worker/Container boundary ("what the Worker knows / does not know / is not"), because the canon shows an implicit boundary causes sprawl. Then: request flow, the exact GET-param vocabulary, the MCP tool surface, the recipe-as-data format, and the v1 images+audio build plan on a video-ready base.		next session
H	Commit this session's journal and .tsv to the project repo	The encoded artifacts and the journal are the durable record of this exploration session, but the assistant cannot write to the klappy.dev / project repo. The operator must commit the journal (.md) and this encoding (.tsv) into the project, likely as an odd/ledger/ entry, so they become canon and can be re-encoded from there.		operator
O	open	P1	Source-identity cost: hash-the-bytes vs header trust	Hashing a large source requires reading its bytes — a cost even on a cache hit. Header-based identity (ETag, Content-Length + Last-Modified) is faster but can lie. The layered ETag-over-sha strategy is decided; the remaining open item is the exact large-source handling. Closes when planning specifies the large-source identity path.
O	open	P2	Streaming transcode adds a third job state	A streaming video transcode is harder to content-address cleanly because the cache entry is written as it is read. The job has three states the Durable Object must track: in-flight/streaming, partially-available, done/cacheable — unlike ptxprint-mcp where a PDF is atomic. Closes when planning designs the DO state machine for streaming jobs.
O	open	P2	First-pass profile persistence is undecided	Whether the first-pass content profile is persisted and reused across multiple output targets for one source. Sovée ran first and second pass on the same worker within a job, but cross-target reuse was not confirmed (operator uncertain). Architecturally sound (pass one profiles the source, identical across targets). Closes when planning decides analyze-once-reuse-many.
O	open	P3	Image target metric: byte ceiling confirmed, quality floor deferred	The v1 image convergence target is the byte ceiling. A quality-floor target (smallest file meeting a perceptual bar) needs a metric (SSIM, Butteraugli) and is deferred to v2. Closes when v2 planning selects and validates a perceptual metric.
